->index
|Number of Samples|Run time|    Memory|Disk read|Disk write|                                                                                           List of Samples|
|-----------------|--------|----------|---------|----------|----------------------------------------------------------------------------------------------------------|
|                1|   0.105|28561408.0|3374088.0| 5637071.0|                                                                                                2014C-3599|
|                2|   0.115|27813888.0|3776730.5| 5659585.0|                                                                                    2014C-3599, 2014C-3656|
|                3|   0.125|28508160.0|4193531.0| 5686119.5|                                                                        2014C-3599, 2014C-3656, 2014C-3840|
|                4|    0.14|25620480.0|4651204.5| 5702718.0|                                                            2014C-3599, 2014C-3656, 2014C-3840, 2014C-3655|
|                5|    0.15|27676672.0|5963515.5| 6326303.5|                                                2014C-3599, 2014C-3656, 2014C-3840, 2014C-3655, 2014C-3598|
|                6|    0.17|27539456.0|6415108.0| 6334776.0|                                    2014C-3599, 2014C-3656, 2014C-3840, 2014C-3655, 2014C-3598, 2014C-3850|
|                7|    0.16|28307456.0|6858726.0| 6343281.5|                        2014C-3599, 2014C-3656, 2014C-3840, 2014C-3655, 2014C-3598, 2014C-3850, 2014C-3857|
|                8|    0.16|27641856.0|7325731.0| 6346781.5|            2014C-3599, 2014C-3656, 2014C-3840, 2014C-3655, 2014C-3598, 2014C-3850, 2014C-3857, 2014C-3907|
|                9|    0.18|27213824.0|8590569.5| 6950736.0|2014C-3599, 2014C-3656, 2014C-3840, 2014C-3655, 2014C-3598, 2014C-3850, 2014C-3857, 2014C-3907, 2014C-3600|
->query
|Number of Samples|Run time|    Memory|Disk read|Disk write|                                                                                           List of Samples|
|-----------------|--------|----------|---------|----------|----------------------------------------------------------------------------------------------------------|
|                1|    0.09|28461056.0|2133331.0|  245775.0|                                                                                                2014C-3599|
|                2|    0.09|27752448.0|2133257.0|  241640.5|                                                                                    2014C-3599, 2014C-3656|
|                3|    0.08|27518976.0|2133325.0|  245771.0|                                                                        2014C-3599, 2014C-3656, 2014C-3840|
|                4|    0.08|28254208.0|2133251.0|  245736.0|                                                            2014C-3599, 2014C-3656, 2014C-3840, 2014C-3655|
|                5|    0.08|27746304.0|2133427.5|  245918.0|                                                2014C-3599, 2014C-3656, 2014C-3840, 2014C-3655, 2014C-3598|
|                6|    0.08|28393472.0|2133337.5|  245870.0|                                    2014C-3599, 2014C-3656, 2014C-3840, 2014C-3655, 2014C-3598, 2014C-3850|
|                7|   0.095|28594176.0|2133359.5|  245883.0|                        2014C-3599, 2014C-3656, 2014C-3840, 2014C-3655, 2014C-3598, 2014C-3850, 2014C-3857|
|                8|   0.085|23042048.0|2133405.5|  237709.0|            2014C-3599, 2014C-3656, 2014C-3840, 2014C-3655, 2014C-3598, 2014C-3850, 2014C-3857, 2014C-3907|
|                9|    0.08|28459008.0|2133346.0|  249971.5|2014C-3599, 2014C-3656, 2014C-3840, 2014C-3655, 2014C-3598, 2014C-3850, 2014C-3857, 2014C-3907, 2014C-3600|
